Num_Circo;Nom;Prenom;Nb_Voix
034-06;CROZIER-DANIEL;Magali;5641
034-07;LOPEZ LIGUORI;Aurélien;20154
034-07;BLASCO;Gabriel;11637
034-08;DELAPIERRE;Cédric;16834
034-08;CARRIERE;Sylvain;13769
034-09;VIGNAL;Patrick;14970
034-09;BELAOUNI;Nadia;10192
035-01;SAOUD;Hind;14080
035-01;MATHIEU;Frédéric;12245
035-02;MAILLART-MÉHAIGNERIE;Laurence;18784
035-02;LAHAIS;Tristan;17232
035-03;ROUAUX;Claudia;22058
035-03;MARTINS;Christophe;21680
035-04;HIGNET;Mathilde;22856
035-04;PATAULT;Anne;22528
035-05;LE NABOUR-CLOAREC;Christine;29690
035-05;RENAULT;Gilles;20923
035-06;BENOIT;Thierry;26431
035-06;MOCQUARD;Hélène;16413
035-07;BOURGEAUX;Jean-Luc;15066
035-07;LE GAGNE;Anne;13280
;;;
036-01;JOLIVET;François;18158
036-01;GONZALEZ;Éloïse;14258
036-02;FORISSIER;Nicolas;22507
036-02;THIRION;Fabien;16173
;;;
037-02;LABARONNE;Daniel;22541
037-02;GOBERT;Christelle;18677
037-03;ALFANDARI;Henri;19014
037-03;SIRVEN;Roxane;13458
037-04;COLBOC;Fabienne;21185
037-04;BAUMEL;Laurent;20752
037-05;THILLAYE;Sabine;15158
037-05;LOUISIN;Ambre;11832
;;;
038-02;CHATELAIN;Cyrielle;11806
038-02;COLAS-ROY;Jean-Charles;11496
;;;
038-04;BATTISTEL;Marie-Noëlle;24016
038-04;LACROIX;Fanny;17350
038-05;IORDANOFF;Jérémie;22086
038-05;JAY;Florence;21739
038-06;JOLLY;Alexis;17356
038-06;MOTIN;Cendra;16145
038-07;NEUDER;Yannick;23678
038-07;MOULIN-COMTE;Alexandre;16055
038-08;ABADIE;Caroline;18251
038-08;AUGUSTE;Benoit;15782
038-09;JACQUIER-LAFORGE;Elodie;22532
038-09;NOSBÉ;Sandrine;19470
038-10;MEYNIER-MILLEFERT;Marjolaine;18361
038-10;GERMAIN;Nathalie;17114
039-01;BRULEBOIS;Danielle;16833
039-01;BRONDEL;Anthony;13108
039-02;DALLOZ;Marie-Christine;15380
039-02;TERNANT;Evelyne;9386
039-03;GRUET;Justine;19397
039-03;PRAT;Hervé;13783
040-01;DARRIEUSSECQ;Geneviève;27123
040-01;DE BARBEYRAC;Guy;21472
040-02;CAUSSE;Lionel;30305
040-02;LESPADE;Jean-Marc;28043
040-03;VALLAUD;Boris;28998
040-03;BROQUÈRES;Jean-Francois;19389
041-01;FESNEAU;Marc;20249
041-01;BELKADI;Reda;15606
041-02;CHUDEAU;Roger;18107
041-02;CHAPLAULT;Emmanuelle;17347
041-03;MARION;Christophe;21158
041-03;BARDET;Marine;17163
042-01;BATAILLON;Quentin;6294
042-01;COPIN;Laetitia;4431
;;;
042-03;MANDON;Emmanuel;18807
042-03;BONY;Vincent;14006
042-04;CINIERI;Dino;27847
042-04;PAEMELAERE;Bernard;17352
042-05;VERMOREL-MARQUES;Antoine;24575
042-05;SARLES;Nathalie;15245
042-06;TAITE;Jean-Pierre;25050
042-06;BOROWCZYK;Julien;19891
043-01;VALENTIN;Isabelle;32478
043-01;GACON;Celline;13773
043-02;VIGIER;Jean-Pierre;25621
043-02;SIGAUX;Azelma;11862
;;;
;;;
;;;
044-04;LAERNOES;Julie;13998
044-04;AMADOU;Aude;12110
044-05;EL HAIRY;Sarah;24459
044-05;LALANDE;Sabine;19421
044-06;RAUX;Jean-Claude;26852
044-06;ESNAULT;Jordan;23961
044-07;JOSSO;Sandrine;31074
044-07;MAHÉ;Veronique;23381
044-08;TAVEL;Matthias;21596
044-08;DUFEU;Audrey;18063
044-09;HAURY;Yannick;31625
044-09;MACON;Hélène;27908
044-10;ERRANTE;Sophie;32852
044-10;CAILLETEAU;Bruno;25274
045-01;RIST;Stéphanie;15714
045-01;KOUNOWSKI;Ghislaine;10597
045-02;JANVIER;Caroline;14783
045-02;DUPLESSY;Emmanuel;11360
045-03;PARIS;Mathilde;16846
045-03;BARBIER;Carine;15416
045-04;MÉNAGÉ;Thomas;19087
045-04;NOTTIN;Bruno;11037
045-05;BROSSE;Anthony;15747
045-05;MANENT;Valentin;15736
045-06;RAMOS;Richard;14275
045-06;HICTER;Olivier;9627
046-01;PRADIÉ;Aurélien;25615
046-01;BOUGEARD;Elsa;14016
046-02;TIEGNA;Huguette;12744
046-02;GROSSEMY;Thierry;12618
046-02;PROENÇA;Christophe;11966
047-01;LAUZZANA;Michel;20328
047-01;DELBOSQ;Sébastien;19163
047-02;LAPORTE;Hélène;16516
047-02;COURREGELONGUE;Christophe;12880
047-02;FRESCHI;Alexandre;12484
047-03;COUSIN;Annick;18747
047-03;CZAPLA;Xavier;14161
048-01;MOREL A L'HUISSIER;Pierre;17355
048-01;DESCAVES;Sandrine;14620
049-01;GERNIGON;François;11505
049-01;SAEIDI;Arash;8580
049-02;DUPONT;Stella;19728
049-02;BESSAT;Caroline;14291
049-03;BLIN;Anne-Laure;19020
049-03;ROUDÉVITCH;Véronique;12342
049-04;SAINT-PAUL;Laëtitia;19913
049-04;RABAULT;Caroline;13093
049-05;MASSEGLIA;Denis;19395
049-05;AIRAUD;Christophe;12525
049-06;DUBRE CHIRAT;Nicole;17309
049-06;AMGHAR;Tassadit;12514
049-07;BOLO;Philippe;18139
049-07;JOUANNEAU;Guillaume;13507
050-01;GOSSELIN;Philippe;27166
050-01;HÉDOUIN;Guillaume;12331
050-02;SORRE;Bertrand;28280
050-02;GRIMBERT;Patrick;15601
050-03;TRAVERT;Stéphane;27829
050-03;VEROVE;Gaëlle;21751
050-04;PIC;Anna;20482
050-04;KRIMI;Sonia;19204
051-01;ALBERTINI;Xavier;15898
051-01;BOURGOIN;Evelyne;12535
051-02;FRIGOUT;Anne-Sophie;14655
051-02;MEGUENINE;Lynda;12079
051-03;GIRARDIN;Eric;16836
051-03;MARC;Jennifer;15897
051-04;MAGNIER;Lise;17294
051-04;BESSON;Thierry;13962
051-05;DE COURSON;Charles;21325
051-05;THIONNET;Pierre;12506
052-01;BENTZ;Christophe;16201
052-01;ABBA;Bérangère;15411
052-02;ROBERT-DEHAULT;Laurence;13877
052-02;CORNUT-GENTILLE;François;12963
053-01;GAROT;Guillaume;20184
053-01;MOTTIER;Béatrice;11739
053-02;BANNIER;Géraldine;19811
053-02;BOISSEAU;Grégory;13983
;;;
054-01;GRANDJEAN;Carole;11198
054-01;JOUIRA;Nordine;8071
054-02;HABLOT;Stéphane;11628
054-02;LACRESSE;Emmanuel;11156
054-03;ETIENNE;Martine;13886
054-03;PALUSZKIEWICZ;Xavier;12851
054-04;BAZIN;Thibault;24952
054-04;BILDE;Dominique;15175
054-05;POTIER;Dominique;21781
054-05;MORENVILLIER;Philippe;12728
054-06;FIAT;Caroline;16132
054-06;BOULOGNE;Anthony;15984
055-01;PANCHER;Bertrand;19027
055-01;GAUDINEAU;Brigitte;15317
055-02;GOULET;Florence;13269
055-02;BOIS;Anne;11534
056-01;LE HÉNANFF;Anne;34382
056-01;FOUCAULT;Luc;23648
056-02;PAHUN;Jimmy;32026
056-02;KIRCHNER;Karol;22630
